SOORT HO;BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;KVK-NUMMER
hbo;24832;Stichting Codarts, Hogeschool voor de Kunsten;Kruisplein;26;3012 CC;ROTTERDAM;0599;ROTTERDAM;Algemeen bijzonder;0102171100;www.codarts.nl;Kruisplein;26;3012 CC;ROTTERDAM;164;41126801
hbo;28901;Stichting Hogeschool voor de Kunsten Utrecht;Nieuwekade;1;3511 RV;UTRECHT;0344;UTRECHT;Algemeen bijzonder;0302091509;www.hku.nl;Postbus;1520;3500 BM;UTRECHT;639;41178974
hbo;29615;Stg. Gerrit. Rietveld Academ. Hogesch. Kunst en Vormg.;Fred. Roeskestraat;96;1076 ED;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206794186; ;Fred. Roeskestraat;96;1076 ED;AMSTERDAM; ;40532911
hbo;30041;Stg. Kaht. Opleiding Leraren in het Basisonderwijs;Ten Oeverstraat;68;8012 EW;ZWOLLE;0193;ZWOLLE;Rooms-Katholiek;0384217425;www.kpz.nl;Ten Oeverstraat;68;8012 EW;ZWOLLE; ;41023625
hbo;30156;Stichting NHL Stenden Hogeschool;Rengerslaan;10;8917 DD;LEEUWARDEN;0080;LEEUWARDEN;Algemeen bijzonder;0582512345;www.nhlstenden.com;Postbus;1080;8900 CB;LEEUWARDEN;820;41002686
hbo;30163;Stichting Hogeschool Leiden;Zernikedreef;11;2333 CK;LEIDEN;0546;LEIDEN;Samenwerking PC, RK;0715188836;www.hsleiden.nl;Postbus;382;2300 AJ;LEIDEN;159;41167218
hbo;30183;Stichting Avans;Prof Cobbenhagenlaan;13;5037 DA;TILBURG;0855;TILBURG;Algemeen bijzonder;0135958301;www.avans.nl;Postbus;90116;4800 RA;BREDA;411;41104408
hbo;30205;Stichting Hogeschool Viaa;Wethouder Alferinkweg;2;8012 GA;ZWOLLE;0193;ZWOLLE;Gereformeerd;0384255542;www.viaa.nl;Postbus;10030;8000 GA;ZWOLLE; ;41023884
hbo;30246;Stichting HZ University of Appl. Scienc.;Edisonweg;4;4382 NW;VLISSINGEN;0718;VLISSINGEN;Algemeen bijzonder;0118489000;www.hz.nl;Postbus;364;4380 AJ;VLISSINGEN;490;41114014
hbo;30274;Sticht. A'damse Hogeschool voor de Kunsten;Jodenbreestraat;3;1011 NG;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205277710;www.ahk.nl;Postbus;15079;1001 MB;AMSTERDAM; ;41210838
hbo;30299;Stichting Hogeschool Rotterdam;Museumpark;40;3015 CX;ROTTERDAM;0599;ROTTERDAM;Algemeen bijzonder;0107940000;www.hogeschoolrotterdam.nl;Postbus;25035;3001 HA;ROTTERDAM;105;41129830
hbo;30327;Stichting voor PC en RK Lerarenopleiding voor het  Basisonderwijs in N-Holland;Jan Tooropstraat;136;1061 AD;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0206137079; ;Jan Tooropstraat;136;1061 AD;AMSTERDAM; ;41207069
hbo;30332;Stiching Breda University of Applied Sciences;Mgr. Hopmansstraat;1;4817 JT;BREDA;0758;BREDA;Algemeen bijzonder;0765332219;www.BUAS.nl;Postbus;3917;4800 DX;BREDA;592;41104616
hbo;30780;Stichting Saxion;M.H. Tromplaan;30;7513 AB;ENSCHEDE;0153;ENSCHEDE;Algemeen bijzonder;0880198888;www.saxion.nl;Postbus;70000;7500 KB;ENSCHEDE;641;38024938
hbo;30923;Stichting Hogeschool der Kunsten Den Haag;Prinsessegracht;4;2514 AN;'S-GRAVENHAGE;0518;S GRAVENHAGE;Algemeen bijzonder;0703154761;www.kabk.nl;Postbus;11670;2502 AR;'S-GRAVENHAGE;032;41156013
hbo;40169;Stichting Hanzehogeschool Groningen;Zernikeplein;7;9747 AS;GRONINGEN;0014;GRONINGEN;Algemeen bijzonder;0505955555;www.hanze.nl;Postbus;30030;9700 RM;GRONINGEN; ;41012703
hbo;40205;Stichting HAS Opleidingen;Onderwijsboulevard;221;5223 DE;'S-HERTOGENBOSCH;0796;S HERTOGENBOSCH;Rooms-Katholiek;0888903600;www.has.nl;Postbus;90108;5200 MA;'S-HERTOGENBOSCH; ;41084408
hbo;40235;Stg. Chr. Hoger Ber.ond. op Gereformeerde Grondslag;Oude Kerkweg;100;6717 JS;EDE;0228;EDE;Protestants-Christelijk;0318696300;www.che.nl;Postbus;80;6710 BB;EDE;701;41052188
hbo;40331;Stichting Hogeschool van Amsterdam;Wibautstraat;3-B;1091 GH;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205952341;www.hva.nl;Postbus;1025;1000 BA;AMSTERDAM; ;34215054
hbo;40516;Stichting Hogeschool Utrecht;Padualaan;99;3584 CH;UTRECHT;0344;UTRECHT;Algemeen bijzonder;0884818283;www.hu.nl;Postbus;573;3500 AN;UTRECHT;765;30140523
hbo;40555;Stichting Fontys;Rachelsmolen;1;5612 MA;EINDHOVEN;0772;EINDHOVEN;Algemeen bijzonder;0885080000; ;Postbus;347;5600 AH;EINDHOVEN; ;41097718
hbo;40687;Stichting Aeres Groep;Bovenbuurtweg;27;6717 XA;EDE;0228;EDE;Protestants-Christelijk;0880207000;www.aeres.nl;Postbus;245;6710 BE;EDE;623;41246832
hbo;40781;Stichting Driestar educatief;Burgemeester Jamessingel;2;2803 PD;GOUDA;0513;GOUDA;Reformatorisch;0182540333;www.driestar-educatief.nl;Burgemeester Jamessingel;2;2803 PD;GOUDA;146;41174339
hbo;41128;Stichting Zuyd Hogeschool;Nieuw-Eyckholt;300;6419 DJ;HEERLEN;0917;HEERLEN;Samenwerking Opb., RK;0454006060;www.zuyd.nl;Postbus;550;6400 AN;HEERLEN;407;14060995
hbo;41292;Stichting ArtEZ;Onderlangs;9;6812 CE;ARNHEM;0202;ARNHEM;Algemeen bijzonder;0263535600;www.artez.nl;Postbus;49;6800 AA;ARNHEM; ;09109756
hbo;41344;Stichting Van Hall Larenstein;Larensteinselaan;26-A;6882 CT;VELP GLD;0275;RHEDEN;Algemeen bijzonder;0263695695;www.hvhl.nl;Postbus;9001;6880 GB;VELP GLD; ;01087061
hbo;41350;Stichting Hoger Onderwijs Nederland;Theresiastraat;8;2593 AN;'S-GRAVENHAGE;0518;S GRAVENHAGE;Algemeen bijzonder;0703123200;www.inholland.nl;Postbus;95597;2509 CN;'S-GRAVENHAGE;316;37099586
hbo;41378;Stichting Hoger Beroepsonderwijs Haaglanden;Johanna Westerdijkplein;75;2521 EN;'S-GRAVENHAGE;0518;S GRAVENHAGE;Algemeen bijzonder;0704458810; ;Postbus;13336;2501 EH;'S-GRAVENHAGE;137;27255912
hbo;41618;Stichting Iselinge Hogeschool;Bachlaan;11;7002 MZ;DOETINCHEM;0222;DOETINCHEM;Overige;0880931000;www.iselinge.nl;Postbus;277;7000 AG;DOETINCHEM; ;09162150
hbo;42609;Stichting Christel. Hogesch. Windesheim;Campus;2;8017 CA;ZWOLLE;0193;ZWOLLE; ;0884699911;www.windesheim.nl;Postbus;10090;8000 GB;ZWOLLE;792;53815033
hbo;42664;Stichting Thomas More Hogeschool;Stationssingel;80;3033 HJ;ROTTERDAM;0599;ROTTERDAM; ;0104657066;www.thomasmorehs.nl;Stationssingel;80;3033 HJ;ROTTERDAM; ;59638273
hbo;50338;Stichting 'De Kempel';Deurneseweg;11;5709 AH;HELMOND;0794;HELMOND;Rooms-Katholiek;0492514400;www.kempel.nl;Deurneseweg;11;5709 AH;HELMOND;401;41087703
hbo;60763;Stichting Hotelschool Den Haag;Brusselselaan;2;2587 AH;'S-GRAVENHAGE;0518;S GRAVENHAGE;Algemeen bijzonder;0703512481;www.hotelschool.nl;Brusselselaan;2;2587 AH;'S-GRAVENHAGE; ;41150185
hbo;60802;Stichting Design Academy Eindhoven;Emmasingel;14;5611 AZ;EINDHOVEN;0772;EINDHOVEN;Algemeen bijzonder;0402393939;www.designacademy.nl;Postbus;2125;5600 CC;EINDHOVEN;425;41088091
hbo;72230;Stichting Protestants Christ. Hoger Beroepsonderwijs Utrecht;Vogelsanglaan;1;3571 ZM;UTRECHT;0344;UTRECHT;Protestants-Christelijk;0302753400;www.marnixacademie.nl;Postbus;85002;3508 AA;UTRECHT; ;41180472
hbo;72243;Stichting Hogeschool van Arnhem en Nijmegen;Ruitenberglaan;31;6826 CC;ARNHEM;0202;ARNHEM;Algemeen bijzonder;0263691111;www.han.nl;Postbus;5375;6802 EJ;ARNHEM;637;09091785
wo;00008;Rijksuniversiteit Groningen;Broerstraat;5;9712 CP;GRONINGEN;0014;GRONINGEN;Rijks;0503635285;www.rug.nl;Postbus;72;9700 AB;GRONINGEN; ;01179037
wo;00009;Universiteit Utrecht;Heidelberglaan;8;3584 CS;UTRECHT;0344;UTRECHT;Rijks;0302533550;www.uu.nl;Postbus;80125;3508 TC;UTRECHT; ;30275924
wo;00010;Erasmus Universiteit Rotterdam;Burgemeester Oudlaan;50;3062 PA;ROTTERDAM;0599;ROTTERDAM; ;0104081751;www.eur.nl;Postbus;1738;3000 DR;ROTTERDAM; ;24495550
wo;00011;Technische Universiteit Delft;Stevinweg;1;2628 CN;DELFT;0503;DELFT;Rijks;0152789111;www.tudelft.nl;Postbus;5;2600 AA;DELFT; ;27364265
wo;00012;Technische Universiteit Eindhoven;Groene Loper;3;5612 AE;EINDHOVEN;0772;EINDHOVEN;Rijks;0402473214;www.tue.nl;Postbus;513;5600 MB;EINDHOVEN; ;51278871
wo;00013;Universiteit Twente;Drienerlolaan;5;7522 NB;ENSCHEDE;0153;ENSCHEDE;Rijks;0534899111;www.utwente.nl;Postbus;217;7500 AE;ENSCHEDE; ;50130536
wo;00014;Wageningen University;Droevendaalsesteeg;4;6708 PB;WAGENINGEN;0289;WAGENINGEN;Rijks;0317480100;www.wur.nl;Postbus;9101;6700 HB;WAGENINGEN; ;09215846
wo;00039;Universiteit Leiden;Rapenburg;70;2311 EZ;LEIDEN;0546;LEIDEN;Rijks;0715273155;www.leidenuniv.nl;Postbus;9500;2300 RA;LEIDEN; ;27368929
wo;20045;Protestantse Theologische Universiteit (PThU);Janskerkhof;12;3512 BL;UTRECHT;0344;UTRECHT;Protestants-Christelijk;0883371861;www.pthu.nl;Janskerkhof;12;3512 BL;UTRECHT; ;08205747
wo;20280;Universiteit Maastricht;Minderbroedersberg;4;6211 LK;MAASTRICHT;0935;MAASTRICHT;Rijks;0433882222;www.maastrichtuniversity.nl;Postbus;616;6200 MD;MAASTRICHT; ;50169181
wo;22222;Universiteit van Amsterdam;Spui;21;1012 WX;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205252704;www.uva.nl;Postbus;19268;1000 GG;AMSTERDAM; ;34370207
wo;30287;Theologische Universiteit Apeldoorn;Wilhelminapark;4;7316 BT;APELDOORN;0200;APELDOORN;Protestants-Christelijk;0555775700;www.tua.nl;Wilhelminapark;4;7316 BT;APELDOORN; ;70692947
wo;30720;Open Universiteit Nederland;Valkenburgerweg;177;6419 AT;HEERLEN;0917;HEERLEN;Algemeen bijzonder;0455762222;www.ou.nl;Postbus;2960;6401 DL;HEERLEN; ;14128608
wo;30816;Stichting Universiteit voor Humanistiek;Kromme Nieuwegracht;29;3512 HD;UTRECHT;0344;UTRECHT;Algemeen bijzonder;0302390100;www.uvh.nl;Postbus;797;3500 AT;UTRECHT; ;41182028
wo;39800;Theologische Universiteit van de Nederlandse Gereformeerde Kerken;Plompetorengracht;3;3512 CA;UTRECHT;0344;UTRECHT;Algemeen bijzonder;0384471710;www.tukampen.nl;Plompetorengracht;3;3512 CA;UTRECHT; ;08191312
wo;75571;Stichting Katholieke Universiteit Brabant;Warandelaan;2;5037 AB;TILBURG;0855;TILBURG;Rooms-Katholiek;0134669111;www.uvt.nl;Postbus;90153;5000 LE;TILBURG; ;41095855
wo;75792;Het College van Bestuur van de Vrije Universiteit;De Boelelaan;1105;1081 HV;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0205482698; ;De Boelelaan;1105;1081 HV;AMSTERDAM; ;53815211
wo;75805;Het College van Bestuur van de Radboud Universiteit Nijmegen;Comeniuslaan;4;6525 HP;NIJMEGEN;0268;NIJMEGEN;Rooms-Katholiek; ; ;Postbus;9102;6500 HC;NIJMEGEN; ;41055629
